Area,Road Name,Carriageway Start Name,Carriageway End Name,Description (location of traffic count),Direction,Count Start Date,5 Day ADT,7 Day ADT,Saturday Volume,Sunday Volume,AM Peak Volume,AM Peak Hour,Mid Peak Volume,Mid Peak Hour,PM Peak Volume,PM Peak Hour,Car,LCV,MCV,HCV-I,HCV-II,HCV Total,,,,,,,,,
North,Access Road #2,,,At Bridge 1020m,Both,25/05/2012,1731,1603,1352,1216,171,0830,145,1345,198,1615,80%,15.1%,3.9%,1.1%,0.2%,5.2%,,,,,,,,,
South,Kirkbride Road,Westney Rd,End 750 Massey Rd Moble S,!Kirkbride Rd ((Approx 80m east Westney Rd - outside no.280 [50kph]),Both,15/07/2012,17334,15660,12921,10026,1664,0745,1154,1400,1603,1700,79%,15.1%,4.3%,0.9%,0.4%,5.6%,,,,,,,,,
North,COATESVILLE RIVERHEAD HIGHWAY,RIVERHEAD ROAD,STATE HIGHWAY 16,Coatsville-Riverhead Highway 80kph,Both,16/07/2012,5308,5231,5999,4079,453,0745,569,1230,582,1430,81%,15.3%,2.7%,1.2%,0.3%,4.2%,,,,,,,,,
North,COATESVILLE RIVERHEAD HIGHWAY,STATE HIGHWAY 17,WIDTH CHANGE,C-R H'way 50m S SH17 80kph,Both,16/07/2012,6120,5821,5962,4182,631,0730,578,1045,629,1500,80%,15.3%,2.9%,1.3%,0.3%,4.5%,,,,,,,,,
South,Bader Drive,,,!Bader Dr (Approx 150 east Bader Dr off-ramp outside fire station <50kph>),Both,16/07/2012,17063,16458,18328,11563,1651,0815,1557,1200,1618,1515,82%,15.6%,1.7%,0.4%,0.1%,2.2%,,,,,,,,,
South,Bader Drive,,,!Bader Dr (Approx 140m east Ashgrove Rd near Sh20 bridge [50kph]),Both,16/07/2012,23328,22749,25838,16768,1995,0815,2225,1200,2189,1645,82%,15.7%,1.5%,0.4%,0.2%,2.1%,,,,,,,,,
South,Buckland Road,,,!Buckland Rd ((Approx 90m nth Ashley Ave outside no.256 [50kph]),Both,16/07/2012,10284,10205,12492,7526,953,0815,1120,1200,1064,1500,82%,15.6%,1.9%,0.3%,0.0%,2.2%,,,,,,,,,
South,Buckland Road,,,!Buckland Rd (Approx 170m nth Cheviot Rd outside no.78 [50kph]),Both,16/07/2012,9045,8879,10043,6885,829,0800,858,1200,909,1545,82%,15.6%,1.9%,0.3%,0.0%,2.3%,,,,,,,,,
South,Buckland Road,Allen St Mangere,Massey Road,!Buckland Rd (Approx 50m north Allen St outside no.148 [50kph]),Both,16/07/2012,10457,10348,11936,8212,895,0800,944,1130,948,1545,82%,15.7%,1.6%,0.3%,0.1%,2.0%,,,,,,,,,
South,Kirkbride Road,Mckenzie Rd Kirkbride Rd,Idlewild Ave,!Kirkbride Rd (Approx 60 north of Idlewild Ave - outside no.42 [60kph]),Both,16/07/2012,10195,8924,6769,4727,925,0745,826,1230,1122,1630,74%,14.1%,8.9%,1.7%,1.2%,11.8%,,,,,,,,,
South,Massey Road,Buckland Road,Walter Street,!Massey Rd (Approx 40m west Walter St outside 421 [50kph]),Both,16/07/2012,19361,18350,18471,13173,1490,0715,1335,1400,1537,1600,80%,15.3%,2.5%,1.2%,0.7%,4.4%,,,,,,,,,
South,Massey Road,Imrie Avenue,Friesian Drive,!Massey Rd (Approx 15m east Tussock Ave outside no 517 [50kph]),Both,16/07/2012,23385,21713,20804,14265,1956,0800,1651,1400,2107,1645,80%,15.3%,3.1%,0.9%,0.4%,4.4%,,,,,,,,,
South,Massey Road,Tennessee Avenue,Viola Avenue,!Massey Rd (Approx 120m east of Viola Ave outside no.311 [50kph]),Both,16/07/2012,22058,20924,21566,14611,1567,0745,1633,1115,1840,1515,81%,15.4%,3.1%,0.6%,0.2%,3.9%,,,,,,,,,
South,Massey Road,Plumley Crescent East,Thomas Road,!Massey Rd (Approx 100m east Thomas Rd outside no.727 ),Both,16/07/2012,17831,16429,15093,10754,1605,0745,1207,1215,1666,1645,80%,15.2%,3.3%,0.8%,0.6%,4.7%,,,,,,,,,
South,Mckenzie Road,Walmsley Rd-Miller Rd,Coronation Rd,!McKenzie Rd (Approx 170m north Walmsley Rd outside 146 [50kph]),Both,16/07/2012,14235,13256,12935,8686,1209,0800,1153,1145,1333,1615,79%,15.1%,2.9%,1.5%,0.9%,5.4%,,,,,,,,,
South,Mckenzie Road,Kirkbride Rd Cemetery,Valiant St,!McKenzie Rd (Approx 380m south Valliant St-Silver Oaks Motel [50kph]),Both,16/07/2012,7860,6703,4580,3039,742,0745,653,1230,902,1630,71%,13.5%,12.4%,1.9%,1.4%,15.7%,,,,,,,,,
South,Pavilion Drive,Montgomerie Rd,Penihana Pl,!Pavilion Dr (Approx 50m north Penihana Pl outside Bostik Co [50kph]),Both,16/07/2012,2313,2019,924,1639,318,0815,231,1200,215,1545,60%,11.2%,21.6%,4.2%,3.3%,29.1%,,,,,,,,,
South,Pavilion Drive,Sharp Curve Second PW16 Signs,Montgomeric-Rennie Drive Rab Start,!Pavilion Dr (Approx 210m sth Montgomerie Rd [50kph]),Both,16/07/2012,1251,991,308,373,143,0730,132,1345,138,1645,65%,12.3%,17.8%,2.9%,2.0%,22.6%,,,,,,,,,
Central,Edmonton Ave,Gambia Pl,State Ave,Edmonton Ave-Gambia twd State [50] os# 53,Both,18/07/2012,568,547,561,427,57,0745,48,1215,80,1645,82%,15.6%,2.1%,0.1%,0.0%,2.2%,,,,,,,,,
Central,Houpara Street,Oranga Ave,Rangipawa Rd,Houpara St-Oranga twd Rangipawa [50] os# 14a,Both,18/07/2012,354,315,239,197,70,0815,29,1030,47,1430,83%,15.8%,1.2%,0.3%,0.0%,1.5%,,,,,,,,,
Central,Maroa Rd,Oranga Ave,Tuata Rd,Maroa Rd-Tuata twd Oranga [50] os# 6,Both,18/07/2012,580,514,412,288,117,0815,69,1400,93,1415,82%,15.7%,1.8%,0.3%,0.0%,2.1%,,,,,,,,,
Central,Olive Road,Station Rd,Width Change (Powerpole Rhs),Olive Rd-Station twd Walls [50] os# 36,Both,18/07/2012,2802,2152,862,193,341,0730,283,1130,292,1445,77%,14.6%,6.9%,1.5%,0.2%,8.5%,,,,,,,,,
Central,State Avenue,Wallath Rd,Torokina Pl,State Ave-Torokina twd Wallath [50] os# 58,Both,18/07/2012,352,336,322,270,31,0815,39,1145,49,1600,82%,15.7%,1.4%,0.3%,0.0%,1.7%,,,,,,,,,
Central,Waitangi Road,State Ave,Oranga Ave,Waitangi Rd-Oranga twd State [50] os# 58A,Both,18/07/2012,2252,2118,2116,1449,232,0800,196,1030,224,1700,79%,15.1%,3.6%,1.8%,0.0%,5.4%,,,,,,,,,
Central,Wallath Road,Rockfield Rd,Santos Pl,Wallath Rd-Rockfield twd Santos [50] os# 25,Both,18/07/2012,507,497,543,396,48,0645,56,1200,55,1730,84%,15.8%,0.7%,0.3%,0.0%,0.9%,,,,,,,,,
Central,Horotutu Road,Irirangi Rd,Tawa Rd,Horotutu Rd-Irirangi twd Tawa [50] os# 23,Both,19/07/2012,1133,1054,1004,711,127,0800,100,0930,162,1700,80%,15.2%,2.7%,2.1%,0.0%,4.8%,,,,,,,,,
Central,Selwyn Street ,Trafalgar St,Grey St,Selwyn St -Trafalgar Twd Grey[50] os# 119,Both,19/07/2012,5368,4940,4605,3137,506,0745,453,1315,587,1700,82%,15.5%,2.1%,0.6%,0.1%,2.7%,,,,,,,,,
South,Menary St,Wood St,Wellington St,"MENARY ROAD BETWEEN WOOD STREET AND WELLINGTON STREET, PAPAKURA",Both,19/07/2012,197,195,183,195,21,0830,41,1400,29,1415,82%,15.6%,1.9%,0.5%,0.0%,2.4%,,,,,,,,,
South,Park Estate Rd,Great South Rd,Goodwin Dr,"PARK ESATE ROAD, EAST OF GOODWIN DRIVE, AT NUMBER 19 PAPAKURA",Both,19/07/2012,1472,1303,1046,716,245,0800,114,1400,189,1445,81%,15.3%,3.0%,1.0%,0.1%,4.0%,,,,,,,,,
South,Ray Small Dr,Elliot St,Union St,"RAY SMALL DRIVE BETWEEN ELLIOT STREET AND UNION ST, PAPAKURA",Both,19/07/2012,1137,1082,1183,705,162,0800,116,1215,136,1700,82%,15.5%,2.7%,0.3%,0.0%,2.9%,,,,,,,,,
South,Red Hill Rd,Dominion Rd,Barberton Tce,"RED HILL ROAD BETWEEN DOMINION ROAD AND BARBERTON TCE, PAPAKURA",Both,19/07/2012,1808,1806,2019,1583,180,0700,182,1215,214,1700,82%,15.7%,1.8%,0.2%,0.0%,2.0%,,,,,,,,,
South,Rosehill Dr,Great South Rd,Royston St,"ROSE HILL ROAD BETWEEN GREAT SOUTH ROAD AND ROYSTON STREET, PAPAKURA",Both,19/07/2012,2979,2616,2011,1408,612,0745,391,0915,393,1445,82%,15.7%,1.8%,0.3%,0.0%,2.1%,,,,,,,,,
South,Rushgreen Ave,Elliot St,Cricklewood St,"RUSHGREEN AVE BETWEEN ELLIOT STREET AND CRICKLEWOOD STREET, PAPAKURA",Both,19/07/2012,2261,2254,2380,2095,207,0745,231,1200,239,1700,82%,15.7%,1.7%,0.1%,0.0%,1.9%,,,,,,,,,
South,Sheehan Ave,Eastburn St,Dominion Rd,"SHEEHAN AVE BETWEEN EASTBURN STREET AND DOMINION ROAD, PAPAKURA",Both,19/07/2012,1989,1876,1876,1310,198,0745,157,1400,185,1630,80%,15.2%,3.9%,1.2%,0.0%,5.1%,,,,,,,,,
South,Shirley Ave,Alma cres,Campbell place,"SHIRLEY AVE BETWEEN ALMA CRES AND CAMPBELL PLACE, PARAKURA",Both,19/07/2012,851,819,832,641,83,0800,80,1200,113,1700,81%,15.4%,2.9%,0.7%,0.0%,3.5%,,,,,,,,,
Central,Cadman Avenue,Waiohua Rd,Garland Rd,Cadman Ave-Waiohua twd Garland [50] os# 7,Both,20/07/2012,915,775,511,344,142,0815,71,1200,172,1645,83%,15.8%,1.2%,0.1%,0.0%,1.3%,,,,,,,,,
Central,Ferguson Avenue,Campbell Rd,Garland Rd,Ferguson Ave- Campbell twd Garland [50] os# 16,Both,20/07/2012,386,340,273,176,69,0745,37,0930,52,1645,83%,15.5%,2.2%,0.2%,0.0%,2.4%,,,,,,,,,
Central,Garland Road,Ferguson Ave,Massey Ave,Garland Rd-Ferguson twd Massey [50] os# 22,Both,20/07/2012,1048,946,789,592,174,0745,84,1145,119,1700,83%,15.8%,1.2%,0.1%,0.0%,1.3%,,,,,,,,,
Central,Konini Road,Ewenson Ave,Wahanui Rd,Konini Rd- Ewenson twd Wahanui [50] os# 21,Both,20/07/2012,1441,1436,1614,1232,147,0730,142,1100,176,1630,83%,15.8%,0.8%,0.1%,0.0%,0.9%,,,,,,,,,
Central,Massey Avenue,Campbell Rd,Garland Rd,Massey Ave-Campbell twd Garland [50] os# 9,Both,20/07/2012,626,508,228,200,125,0800,81,1230,130,1645,83%,15.8%,1.0%,0.1%,0.0%,1.1%,,,,,,,,,
Central,Miro Road,Campbell Rd,Matai Rd,Miro Rd-Matai twd Campbell[50] os# 10a,Both,20/07/2012,1044,895,606,440,156,0745,73,0915,186,1645,83%,15.7%,1.4%,0.2%,0.0%,1.5%,,,,,,,,,
